t,dt,gamma,omega,Wg,Wphi,Wapar,energy,heat_flux,particle_flux,heat_flux_s0,particle_flux_s0
1.750134735107421875e+02,5.165310576558113098e-02,4.598007248756714321e-03,-1.515894651338933925e-02,1.180599559989054086e+02,1.472522926570873469e+00,0.000000000000000000e+00,1.195324789254762834e+02,5.484604706775264127e+00,0.000000000000000000e+00,5.484604706775264127e+00,0.000000000000000000e+00
1.775597229003906250e+02,4.903634637594223022e-02,-1.634247036593295399e-01,-3.401620802172720115e-01,1.194537197600631089e+02,1.482661375071846699e+00,0.000000000000000000e+00,1.209363811351349511e+02,5.611429969233173054e+00,0.000000000000000000e+00,5.611429969233173054e+00,0.000000000000000000e+00
1.801294860839843750e+02,5.275870859622955322e-02,-4.402684892881563589e-02,-1.926004282271533419e-01,1.209335089083116799e+02,1.520916979679077352e+00,0.000000000000000000e+00,1.224544258879907517e+02,5.700535256686098506e+00,0.000000000000000000e+00,5.700535256686098506e+00,0.000000000000000000e+00
1.827214355468750000e+02,4.963459074497222900e-02,5.626102489167249254e-02,-3.332023968131263558e-01,1.234361768312060263e+02,1.552158428670758372e+00,0.000000000000000000e+00,1.249883352598767914e+02,5.994176839529825607e+00,0.000000000000000000e+00,5.994176839529825607e+00,0.000000000000000000e+00
1.852250976562500000e+02,5.150395259261131287e-02,3.105883705942545647e-02,-7.679308599188132411e-02,1.256304719824746883e+02,1.581078985968580541e+00,0.000000000000000000e+00,1.272115509684432624e+02,5.835032187240777546e+00,0.000000000000000000e+00,5.835032187240777546e+00,0.000000000000000000e+00
1.877661895751953125e+02,5.167885869741439819e-02,8.725982723590003376e-02,-7.244028970090475583e-02,1.251108439233381375e+02,1.555777158244276981e+00,0.000000000000000000e+00,1.266666210815824201e+02,5.765460651000488213e+00,0.000000000000000000e+00,5.765460651000488213e+00,0.000000000000000000e+00
1.903547821044921875e+02,5.063202604651451111e-02,-5.699545176287649714e-03,-1.983185295057986741e-01,1.247676195787753244e+02,1.572467159487078714e+00,0.000000000000000000e+00,1.263400867382624000e+02,5.868764223362365584e+00,0.000000000000000000e+00,5.868764223362365584e+00,0.000000000000000000e+00
1.929071197509765625e+02,5.036317184567451477e-02,1.689095464083541567e-02,-1.111980735489286332e-01,1.245948399729438165e+02,1.589559391379696152e+00,0.000000000000000000e+00,1.261843993643235109e+02,5.669415190903503543e+00,0.000000000000000000e+00,5.669415190903503543e+00,0.000000000000000000e+00
1.954473571777343750e+02,5.172332748770713806e-02,-2.902287095009905005e-01,-9.559779069971095777e-02,1.216000797987439626e+02,1.543546885556994486e+00,0.000000000000000000e+00,1.231436266843009548e+02,5.306127537672997718e+00,0.000000000000000000e+00,5.306127537672997718e+00,0.000000000000000000e+00
1.980775451660156250e+02,5.214993283152580261e-02,-1.927748473027213194e+00,-4.356625663467442067e+00,1.172090528517454118e+02,1.448018782131206716e+00,0.000000000000000000e+00,1.186570716338766118e+02,5.092115098827722619e+00,0.000000000000000000e+00,5.092115098827722619e+00,0.000000000000000000e+00
